# Omega_Matter_0 = 0.302   | Omega_Lambda_0 = 0.698   | Omega_K_0 = 0.0   | h = 1.0   |
# RA  DEC  CZ_obs  Mr  HaloID  logMHalo  NGal_H  FLAG  CZ_real  DIST_C  Vp_tot  Vp_tang  Morph  logMstar  r_mag  u_mag  FSMGR  Gal_Match_flag  u_r  mhi_mass  GroupID  Group_NGals  Group_Rproj  Group_CZdisp  Group_logMHalo  Group_Gal_Type
  212.282651      2.338598     3085.75016     -19.072         302035     11.253           1       1    3385.519790    0.00000000e+00     790.28368     731.22258        LT      9.257255    -19.065651    -17.774807      1.063081         ECO      1.290844    5.370319e+09              34           1      0.000000      0.000000     11.399           1
  211.798464      3.995041     2810.03796     -19.208         302069     11.613           1       1    3248.862125    0.00000000e+00     471.97884     173.77392        LT     10.340020    -19.282141    -17.901108      0.190598         ECO      1.381033    4.677355e+09              35           1      0.000000      0.000000     11.453           1
  212.078185      5.038650     2797.55958     -22.167         302140     13.497          17       1    3282.435243    0.00000000e+00     963.50901     832.61348        ET     11.265636    -22.211500    -19.855576      0.031965         ECO      2.355925    6.165959e+09              36          17      0.236390    257.230000     13.859           0
  212.250599      5.194588     2772.03006     -19.351         302140     13.497          17       0    3273.480146    2.28459014e-01    1295.00961    1193.98396        LT     10.250000    -19.338562    -18.189045      0.523606         ECO      1.149517    4.897788e+09              36          17      0.236390    257.230000     13.859           0
  211.927075      4.966699     2771.69076     -22.518         302140     13.497          17       0    3292.034645    1.93360764e-01    1119.74482     991.49922        ET      9.740000    -22.583458    -20.204224      0.023767         ECO      2.379234    9.332542e+09              36          17      0.236390    257.230000     13.859           1
  212.266754      4.473416     3084.34824     -21.037         302140     13.497          17       0    3280.763021    4.87795010e-01     895.04990     873.23282        LT      9.850000    -21.040178    -19.319733      0.137934         ECO      1.720446    4.897787e+09              36          17      0.236390    257.230000     13.859           0
  212.127043      5.405896     3579.24433     -20.370         302140     13.497          17       0    3281.507602    3.03335597e-01     720.92154     656.56737        LT     10.460000    -20.411491    -18.360924      0.362634         ECO      2.050568    1.479109e+09              36          17      0.236390    257.230000     13.859           0
  212.020108      5.019940     3038.74271     -19.850         302140     13.497          17       0    3286.724043    7.88084145e-02    1009.13708     978.19369        LT      9.190000    -19.876652    -17.850044      0.065318         ECO      2.026608    6.165959e+08              36          17      0.236390    257.230000     13.859           0
  211.981639      5.047737     3212.63776     -20.910         302140     13.497          17       0    3274.852256    1.33795796e-01     780.05573     777.57077        LT      9.440000    -20.951862    -18.645340      0.134627         ECO      2.306522    1.621813e+09              36          17      0.236390    257.230000     13.859           0
  212.110665      5.055583     2840.20105     -19.812         302140     13.497          17       0    3279.670194    4.94309294e-02     691.88486     534.38893        LT      9.830000    -19.785677    -18.744461      1.055617         ECO      1.041216    1.023295e+10              36          17      0.236390    257.230000     13.859           0
  211.432568      4.619268     2972.36000     -21.605         302140     13.497          17       0    3310.275802    7.45244060e-01     570.69867     459.90204        ET     10.460000    -21.643909    -19.227551      0.133964         ECO      2.416359    3.548133e+09              37           1      0.000000      0.000000     12.407           1
